N,time_numpy,time_cupy
4050001,0.05729174613952637,0.00046253204345703125
4060001,0.05898618698120117,0.00044345855712890625
4070001,0.05846595764160156,0.0004305839538574219
4080001,0.05833148956298828,0.0004620552062988281
4090001,0.05964493751525879,0.0004260540008544922
4100001,0.05859827995300293,0.0004298686981201172
4110001,0.058150291442871094,0.00041985511779785156
4120001,0.05885648727416992,0.00043702125549316406
4130001,0.11885476112365723,0.0004420280456542969
4140001,0.06055736541748047,0.0004553794860839844
4150001,0.05869770050048828,0.0004317760467529297
4160001,0.060117244720458984,0.0004756450653076172
4170001,0.05969381332397461,0.0004494190216064453
4180001,0.0604097843170166,0.0004200935363769531
4190001,0.061189889907836914,0.00042128562927246094
4200001,0.060324907302856445,0.00044727325439453125
4210001,0.060170650482177734,0.0004401206970214844
4220001,0.06021237373352051,0.0004215240478515625
4230001,0.09339332580566406,0.000431060791015625
4240001,0.0639338493347168,0.0004413127899169922
4250001,0.0603337287902832,0.00043201446533203125
4260001,0.06129646301269531,0.0004394054412841797
4270001,0.06109952926635742,0.00042319297790527344
4280001,0.06116032600402832,0.0004258155822753906
4290001,0.061507225036621094,0.00042748451232910156
4300001,0.06378984451293945,0.00044989585876464844
4310001,0.06206798553466797,0.0005056858062744141
4320001,0.08094167709350586,0.00045943260192871094
4330001,0.0686960220336914,0.0004608631134033203
4340001,0.062448978424072266,0.00043892860412597656
4350001,0.0618896484375,0.00043201446533203125
4360001,0.06195211410522461,0.0004222393035888672
4370001,0.06157684326171875,0.0004265308380126953
4380001,0.0637202262878418,0.0004374980926513672
4390001,0.062478065490722656,0.0004420280456542969
4400001,0.06381559371948242,0.0004563331604003906
4410001,0.06420660018920898,0.0004508495330810547
4420001,0.12222504615783691,0.00044846534729003906
4430001,0.06390953063964844,0.00042557716369628906
4440001,0.06334733963012695,0.0004265308380126953
4450001,0.06378626823425293,0.0004477500915527344
4460001,0.06353187561035156,0.00044226646423339844
4470001,0.06463098526000977,0.0004203319549560547
4480001,0.06562495231628418,0.00045371055603027344
4490001,0.06493926048278809,0.0004220008850097656
4500001,0.06377267837524414,0.0004363059997558594
4510001,0.12429046630859375,0.00043392181396484375
4520001,0.06528496742248535,0.00043201446533203125
4530001,0.06535077095031738,0.0004203319549560547
4540001,0.06482291221618652,0.0004343986511230469
4550001,0.06614255905151367,0.00043129920959472656
4560001,0.06748247146606445,0.00044918060302734375
4570001,0.0659952163696289,0.0004432201385498047
4580001,0.06564831733703613,0.00043582916259765625
4590001,0.06535148620605469,0.00042724609375
4600001,0.1311638355255127,0.00044727325439453125
4610001,0.0654304027557373,0.0004410743713378906
4620001,0.06534337997436523,0.0004398822784423828
4630001,0.0656900405883789,0.0004208087921142578
4640001,0.06575489044189453,0.0004379749298095703
4650001,0.06635761260986328,0.0004258155822753906
4660001,0.06684327125549316,0.00043392181396484375
4670001,0.06620526313781738,0.0004367828369140625
4680001,0.06581592559814453,0.0004248619079589844
4690001,0.12489461898803711,0.0004532337188720703
4700001,0.06753206253051758,0.00043892860412597656
4710001,0.0671079158782959,0.0004222393035888672
4720001,0.06795549392700195,0.00045108795166015625
4730001,0.06730341911315918,0.0008111000061035156
4740001,0.06853890419006348,0.0004303455352783203
4750001,0.06847858428955078,0.0004363059997558594
4760001,0.06862521171569824,0.0004360675811767578
4770001,0.06772541999816895,0.00041413307189941406
4780001,0.11094236373901367,0.0004382133483886719
4790001,0.07016468048095703,0.0004315376281738281
4800001,0.06990766525268555,0.00043201446533203125
4810001,0.06947708129882812,0.00047659873962402344
4820001,0.06835532188415527,0.00042176246643066406
4830001,0.06839370727539062,0.00043463706970214844
4840001,0.0691063404083252,0.0004305839538574219
4850001,0.06865382194519043,0.0004684925079345703
4860001,0.10996127128601074,0.00047469139099121094
4870001,0.07174873352050781,0.000484466552734375
4880001,0.06963992118835449,0.00043892860412597656
4890001,0.06930685043334961,0.0004982948303222656
4900001,0.07038211822509766,0.0004315376281738281
4910001,0.07076287269592285,0.0004227161407470703
4920001,0.07000327110290527,0.00045299530029296875
4930001,0.0707244873046875,0.0004246234893798828
4940001,0.07003021240234375,0.0004496574401855469
4950001,0.12975788116455078,0.0004467964172363281
4960001,0.070648193359375,0.00042319297790527344
4970001,0.07001590728759766,0.0004343986511230469
4980001,0.0710287094116211,0.000476837158203125
4990001,0.0717310905456543,0.00042176246643066406
5000001,0.07121109962463379,0.00043129920959472656
5010001,0.07218217849731445,0.00042557716369628906
5020001,0.07174229621887207,0.00044608116149902344
5030001,0.13777446746826172,0.00043129920959472656
5040001,0.07167673110961914,0.00042176246643066406
5050001,0.07105159759521484,0.0005195140838623047
5060001,0.07299351692199707,0.0004506111145019531
5070001,0.07275891304016113,0.00041937828063964844
5080001,0.07213044166564941,0.0004646778106689453
5090001,0.07328224182128906,0.0004248619079589844
5100001,0.0727229118347168,0.0004329681396484375
5110001,0.13391780853271484,0.0004782676696777344
5120001,0.07472538948059082,0.0004436969757080078
5130001,0.07293486595153809,0.0004241466522216797
5140001,0.07316422462463379,0.0004515647888183594
5150001,0.07348752021789551,0.0004246234893798828
5160001,0.07307076454162598,0.00042891502380371094
5170001,0.07347512245178223,0.0004723072052001953
5180001,0.07329034805297852,0.000446319580078125
5190001,0.1116483211517334,0.0004353523254394531
5200001,0.09373307228088379,0.0004718303680419922
5210001,0.07472896575927734,0.0004239082336425781
5220001,0.07444286346435547,0.0004343986511230469
5230001,0.07541847229003906,0.0004241466522216797
5240001,0.07661724090576172,0.00044798851013183594
5250001,0.0757744312286377,0.0004391670227050781
5260001,0.07536959648132324,0.00043320655822753906
5270001,0.13843131065368652,0.00046539306640625
5280001,0.07628965377807617,0.00043964385986328125
5290001,0.07599878311157227,0.00042724609375
5300001,0.07594776153564453,0.00048065185546875
5310001,0.0787208080291748,0.00043773651123046875
5320001,0.0760200023651123,0.0004448890686035156
5330001,0.07695555686950684,0.00044155120849609375
5340001,0.07639622688293457,0.00043582916259765625
5350001,0.11931538581848145,0.0004956722259521484
5360001,0.077667236328125,0.0004227161407470703
5370001,0.07799768447875977,0.0004413127899169922
5380001,0.07848834991455078,0.0004298686981201172
5390001,0.07805585861206055,0.0004241466522216797
5400001,0.07747650146484375,0.00044608116149902344
5410001,0.0771338939666748,0.00048041343688964844
5420001,0.08574938774108887,0.0004525184631347656
5430001,0.09419536590576172,0.0004315376281738281
5440001,0.07834768295288086,0.0004329681396484375
5450001,0.0788278579711914,0.0004439353942871094
5460001,0.07751870155334473,0.0004322528839111328
5470001,0.07917380332946777,0.00043892860412597656
5480001,0.07917141914367676,0.0004508495330810547
5490001,0.07940673828125,0.0004279613494873047
5500001,0.13940930366516113,0.0004711151123046875
5510001,0.07833194732666016,0.0004220008850097656
5520001,0.07879805564880371,0.0004184246063232422
5530001,0.07959628105163574,0.0004265308380126953
5540001,0.07923007011413574,0.00043964385986328125
5550001,0.07926344871520996,0.00043272972106933594
5560001,0.07912397384643555,0.0004379749298095703
5570001,0.0799875259399414,0.00045871734619140625
5580001,0.09000802040100098,0.00043511390686035156
5590001,0.0800321102142334,0.00042438507080078125
5600001,0.07928967475891113,0.0004291534423828125
5610001,0.0806126594543457,0.0004222393035888672
5620001,0.08009672164916992,0.0004448890686035156
5630001,0.08037018775939941,0.000446319580078125
5640001,0.08020520210266113,0.00042438507080078125
5650001,0.15221881866455078,0.0005004405975341797
5660001,0.08230042457580566,0.0004398822784423828
5670001,0.08131217956542969,0.0004315376281738281
