N,CPU,GPU
1590001,0.022285938262939453,0.0005238056182861328
1600001,0.022527217864990234,0.0005071163177490234
1610001,0.02230525016784668,0.0005767345428466797
1620001,0.02304244041442871,0.0005106925964355469
1630001,0.022716999053955078,0.0005190372467041016
1640001,0.022991657257080078,0.0005044937133789062
1650001,0.022913455963134766,0.0007174015045166016
1660001,0.023062944412231445,0.0005276203155517578
1670001,0.023653268814086914,0.0005104541778564453
1680001,0.02372574806213379,0.0005166530609130859
1690001,0.02384328842163086,0.0005147457122802734
1700001,0.02375006675720215,0.0005257129669189453
1710001,0.02476811408996582,0.0006749629974365234
1720001,0.03360462188720703,0.0012784004211425781
1730001,0.04295992851257324,0.0005216598510742188
1740001,0.024793624877929688,0.0005450248718261719
1750001,0.025048017501831055,0.0005519390106201172
1760001,0.024867773056030273,0.0005478858947753906
1770001,0.025209665298461914,0.0005514621734619141
1780001,0.024974584579467773,0.0005311965942382812
1790001,0.025760889053344727,0.0005421638488769531
1800001,0.026048660278320312,0.0005228519439697266
1810001,0.026144027709960938,0.0005223751068115234
1820001,0.026398897171020508,0.0005497932434082031
1830001,0.026325225830078125,0.0005624294281005859
1840001,0.026278257369995117,0.0005488395690917969
1850001,0.026180028915405273,0.0005309581756591797
1860001,0.02647542953491211,0.0005490779876708984
1870001,0.02690267562866211,0.0005478858947753906
1880001,0.026216983795166016,0.0005490779876708984
1890001,0.02646160125732422,0.0005552768707275391
1900001,0.026618242263793945,0.0005419254302978516
1910001,0.02693653106689453,0.0005636215209960938
1920001,0.02742767333984375,0.0005745887756347656
1930001,0.028003692626953125,0.0006692409515380859
1940001,0.02774333953857422,0.0005590915679931641
1950001,0.028035879135131836,0.0005669593811035156
1960001,0.027881860733032227,0.0005600452423095703
1970001,0.02799391746520996,0.0006761550903320312
1980001,0.028194904327392578,0.0005700588226318359
1990001,0.028419971466064453,0.0005855560302734375
2000001,0.028627395629882812,0.0006113052368164062
2010001,0.028346538543701172,0.0005788803100585938
2020001,0.029429912567138672,0.0005693435668945312
2030001,0.0287473201751709,0.0005927085876464844
2040001,0.02961897850036621,0.0007309913635253906
2050001,0.029972553253173828,0.0005903244018554688
2060001,0.0298769474029541,0.0007562637329101562
2070001,0.04796314239501953,0.0011184215545654297
2080001,0.041826486587524414,0.0005970001220703125
2090001,0.030556201934814453,0.0006186962127685547
2100001,0.0300905704498291,0.0006077289581298828
2110001,0.03030252456665039,0.0005953311920166016
2120001,0.03006148338317871,0.0005819797515869141
2130001,0.030724525451660156,0.0005991458892822266
2140001,0.030870437622070312,0.0005970001220703125
2150001,0.0304415225982666,0.0005910396575927734
2160001,0.030884504318237305,0.0005910396575927734
2170001,0.03073716163635254,0.0005962848663330078
2180001,0.030490398406982422,0.0005891323089599609
2190001,0.030957460403442383,0.0006203651428222656
2200001,0.031867265701293945,0.0005943775177001953
2210001,0.030901432037353516,0.0005958080291748047
2220001,0.031014204025268555,0.0007328987121582031
2230001,0.031131267547607422,0.0005941390991210938
2240001,0.03195357322692871,0.0006048679351806641
2250001,0.03168606758117676,0.0006020069122314453
2260001,0.031635284423828125,0.0005953311920166016
2270001,0.03176736831665039,0.0006067752838134766
2280001,0.03159499168395996,0.0006291866302490234
2290001,0.031343936920166016,0.0006058216094970703
2300001,0.03189539909362793,0.00066375732421875
2310001,0.033943891525268555,0.0006270408630371094
2320001,0.03319573402404785,0.0008177757263183594
2330001,0.03326821327209473,0.0006196498870849609
2340001,0.03325080871582031,0.0006136894226074219
2350001,0.03405880928039551,0.0006041526794433594
2360001,0.03473830223083496,0.0014410018920898438
2370001,0.04793858528137207,0.0006442070007324219
2380001,0.049508094787597656,0.0010218620300292969
2390001,0.034297943115234375,0.0006382465362548828
2400001,0.034192562103271484,0.0006468296051025391
2410001,0.03490185737609863,0.0006163120269775391
2420001,0.03528404235839844,0.0006318092346191406
2430001,0.03405499458312988,0.0006361007690429688
2440001,0.03468775749206543,0.0006396770477294922
2450001,0.05914187431335449,0.0006473064422607422
2460001,0.0351712703704834,0.0006322860717773438
2470001,0.03664517402648926,0.0006272792816162109
2480001,0.03583550453186035,0.0006384849548339844
2490001,0.035692691802978516,0.0006642341613769531
2500001,0.035579681396484375,0.0006251335144042969
2510001,0.0355837345123291,0.0006451606750488281
2520001,0.0353543758392334,0.0006337165832519531
2530001,0.03564286231994629,0.0009131431579589844
2540001,0.035906076431274414,0.0006456375122070312
2550001,0.03561544418334961,0.0006422996520996094
2560001,0.0361325740814209,0.0006399154663085938
2570001,0.036255836486816406,0.0007953643798828125
2580001,0.03558826446533203,0.0006291866302490234
2590001,0.0359959602355957,0.0006389617919921875
2600001,0.036512136459350586,0.0006520748138427734
2610001,0.03666400909423828,0.0006890296936035156
2620001,0.03640174865722656,0.0006451606750488281
2630001,0.04829812049865723,0.0011088848114013672
2640001,0.05023336410522461,0.0006361007690429688
2650001,0.03738737106323242,0.0006606578826904297
2660001,0.037308692932128906,0.0007565021514892578
2670001,0.037316322326660156,0.0006661415100097656
2680001,0.037568092346191406,0.0007929801940917969
2690001,0.03780102729797363,0.0006597042083740234
2700001,0.03859543800354004,0.0006749629974365234
2710001,0.038863182067871094,0.0006558895111083984
2720001,0.03844952583312988,0.0006613731384277344
2730001,0.038329124450683594,0.0006606578826904297
2740001,0.0391080379486084,0.0006582736968994141
2750001,0.03845381736755371,0.0006401538848876953
2760001,0.0384829044342041,0.0006422996520996094
2770001,0.038800954818725586,0.00064849853515625
2780001,0.039095163345336914,0.0006632804870605469
2790001,0.039165496826171875,0.0006649494171142578
2800001,0.0392305850982666,0.0006589889526367188
2810001,0.03931856155395508,0.0006651878356933594
2820001,0.03963589668273926,0.0006687641143798828
2830001,0.03988242149353027,0.0009448528289794922
2840001,0.04042553901672363,0.0006873607635498047
2850001,0.039873600006103516,0.0006833076477050781
2860001,0.04031825065612793,0.0006728172302246094
2870001,0.040615081787109375,0.0006756782531738281
2880001,0.06842279434204102,0.0008280277252197266
2890001,0.04281902313232422,0.0006892681121826172
2900001,0.04132580757141113,0.000698089599609375
2910001,0.04119753837585449,0.0006804466247558594
2920001,0.041249752044677734,0.0006778240203857422
2930001,0.040686845779418945,0.0006601810455322266
2940001,0.04236578941345215,0.0008869171142578125
2950001,0.04337739944458008,0.0006985664367675781
2960001,0.042943477630615234,0.0007236003875732422
2970001,0.04223346710205078,0.0007028579711914062
2980001,0.04232215881347656,0.0006921291351318359
2990001,0.042183876037597656,0.000690460205078125
3000001,0.04269862174987793,0.0006992816925048828
3010001,0.04257845878601074,0.0006923675537109375
3020001,0.04276466369628906,0.000823974609375
3030001,0.04253792762756348,0.0006966590881347656
3040001,0.04271078109741211,0.0007002353668212891
3050001,0.04358053207397461,0.0007033348083496094
3060001,0.045042991638183594,0.0006995201110839844
3070001,0.04325532913208008,0.0006921291351318359
3080001,0.043961286544799805,0.0006906986236572266
3090001,0.0440211296081543,0.0011124610900878906
3100001,0.06400847434997559,0.0010907649993896484
3110001,0.049683332443237305,0.0007214546203613281
3120001,0.044118404388427734,0.0007147789001464844
3130001,0.0436861515045166,0.0007140636444091797
3140001,0.04457902908325195,0.0007493495941162109
3150001,0.0443727970123291,0.0007123947143554688
3160001,0.04442143440246582,0.0007178783416748047
3170001,0.044455766677856445,0.0007114410400390625
3180001,0.04432201385498047,0.0007383823394775391
3190001,0.04467058181762695,0.0008625984191894531
3200001,0.045221567153930664,0.0007143020629882812
3210001,0.04517006874084473,0.0007596015930175781
3220001,0.0458676815032959,0.0007269382476806641
3230001,0.045194387435913086,0.0007307529449462891
3240001,0.04659724235534668,0.0007278919219970703
3250001,0.04576396942138672,0.00092315673828125
3260001,0.04590439796447754,0.0007281303405761719
3270001,0.04584670066833496,0.00072479248046875
3280001,0.0458681583404541,0.0007233619689941406
3290001,0.0465540885925293,0.0007979869842529297
3300001,0.0461583137512207,0.0007257461547851562
3310001,0.05330967903137207,0.0009601116180419922
3320001,0.06288957595825195,0.0007379055023193359
3330001,0.04715561866760254,0.0007390975952148438
3340001,0.04733896255493164,0.000751495361328125
3350001,0.04748725891113281,0.0007464885711669922
3360001,0.04706621170043945,0.000766754150390625
3370001,0.04806852340698242,0.0008401870727539062
3380001,0.047856807708740234,0.0007560253143310547
3390001,0.04738569259643555,0.0007333755493164062
3400001,0.047482967376708984,0.0007498264312744141
3410001,0.048399925231933594,0.0007691383361816406
3420001,0.04745602607727051,0.0007479190826416016
3430001,0.04847455024719238,0.0007545948028564453
3440001,0.04844856262207031,0.0009000301361083984
3450001,0.04828286170959473,0.0007441043853759766
3460001,0.04890275001525879,0.0007598400115966797
3470001,0.048786163330078125,0.0007562637329101562
3480001,0.05009269714355469,0.0007879734039306641
3490001,0.0493776798248291,0.0007803440093994141
3500001,0.04967904090881348,0.0007920265197753906
3510001,0.06304788589477539,0.0008685588836669922
3520001,0.06393003463745117,0.0007920265197753906
3530001,0.04973316192626953,0.0008745193481445312
3540001,0.04999399185180664,0.0007753372192382812
3550001,0.049902915954589844,0.0007653236389160156
3560001,0.051058292388916016,0.0007672309875488281
3570001,0.05084872245788574,0.0007781982421875
3580001,0.05069923400878906,0.0009005069732666016
3590001,0.0513913631439209,0.0007963180541992188
3600001,0.051744937896728516,0.0008022785186767578
3610001,0.05223441123962402,0.0008008480072021484
3620001,0.05235481262207031,0.0007951259613037109
3630001,0.05063796043395996,0.0008180141448974609
3640001,0.051619768142700195,0.0007843971252441406
3650001,0.0513918399810791,0.0007750988006591797
3660001,0.05159330368041992,0.0007834434509277344
